SACC code,Country of birth,Year,Net Migration
1101,Australia,2020,"7,470"
9225,South Africa,2020,"2,560"
1304,Vanuatu,2020,"2,290"
1508,Tonga,2020,"1,770"
7201,Afghanistan,2020,"1,460"
5204,Philippines,2020,"1,080"
1505,Samoa,2020,"1,000"
1303,Solomon Islands,2020,990
1502,Fiji,2020,810
4208,Lebanon,2020,810
7103,India,2021,38130
7105,Nepal,2021,20170
6101,China,2021,15150
5204,Philippines,2021,11570
7201,Afghanistan,2021,8050
6102,Hong Kong,2021,8040
5105,Vietnam,2021,6550
7106,Pakistan,2021,6430
5104,Thailand,2021,6080
7107,Sri Lanka,2021,5380
