SACC code,Country of birth,Net migration (2020-2021),Net Migration(2021-2022),,,,,,,,,,,,,,,
1101,Australia,"7,470","-14,160",,,,,,,,,,,,,,,
1102,Norfolk Island,0,0,,,,,,,,,,,,,,,
1199,"Aust E T, nec",0,0,,,,,,,,,,,,,,,
1201,New Zealand,"-2,150","4,910",,,,,,,,,,,,,,,
1301,New Caledonia,0,30,,,,,,,,,,,,,,,
1302,PNG,-180,430,,,,,,,,,,,,,,,
1303,Solomon Islands,990,"1,430",,,,,,,,,,,,,,,
1304,Vanuatu,"2,290","2,030",,,,,,,,,,,,,,,
1401,Guam,0,0,,,,,,,,,,,,,,,
1402,Kiribati,180,140,,,,,,,,,,,,,,,
1403,Marshall Is,0,0,,,,,,,,,,,,,,,
1404,"Micronesia, F S",0,0,,,,,,,,,,,,,,,
1405,Nauru,-20,10,,,,,,,,,,,,,,,
1406,N Mariana Is,0,0,,,,,,,,,,,,,,,
1407,Palau,0,0,,,,,,,,,,,,,,,
1501,Cook Islands,-10,20,,,,,,,,,,,,,,,
1502,Fiji,810,"2,100",,,,,,,,,,,,,,,
1503,French Poly,-30,0,,,,,,,,,,,,,,,
1504,Niue,0,10,,,,,,,,,,,,,,,
1505,Samoa,"1,000","2,830",,,,,,,,,,,,,,,
1506,Samoa American,0,0,,,,,,,,,,,,,,,
1507,Tokelau,-10,10,,,,,,,,,,,,,,,
1508,Tonga,"1,770","1,120",,,,,,,,,,,,,,,
1511,Tuvalu,-30,20,,,,,,,,,,,,,,,
1512,Wallis/Futuna,0,0,,,,,,,,,,,,,,,
1513,Pitcairn Is,0,0,,,,,,,,,,,,,,,
1599,"Polynesia, nec",0,0,,,,,,,,,,,,,,,
1601,Adelie Land,0,0,,,,,,,,,,,,,,,
1602,Argentinian A T,0,0,,,,,,,,,,,,,,,
1603,Australian A T,0,0,,,,,,,,,,,,,,,
1604,British A T,0,0,,,,,,,,,,,,,,,
1605,Chilean A T,0,0,,,,,,,,,,,,,,,
1606,Queen Maud Land,0,0,,,,,,,,,,,,,,,
1607,Ross Dependency,0,0,,,,,,,,,,,,,,,
2100,"UK, CIs & IOM",-960,920,,,,,,,,,,,,,,,
2201,Ireland,"-1,200",-510,,,,,,,,,,,,,,,
2301,Austria,-50,-40,,,,,,,,,,,,,,,
2302,Belgium,-240,-120,,,,,,,,,,,,,,,
2303,France,"-2,190","-1,570",,,,,,,,,,,,,,,
2304,Germany,"-1,090",-560,,,,,,,,,,,,,,,
2305,Liechtenstein,0,0,,,,,,,,,,,,,,,
2306,Luxembourg,0,0,,,,,,,,,,,,,,,
2307,Monaco,0,0,,,,,,,,,,,,,,,
2308,Netherlands,-420,-330,,,,,,,,,,,,,,,
2311,Switzerland,-90,20,,,,,,,,,,,,,,,
2401,Denmark,-140,-60,,,,,,,,,,,,,,,
2402,Faroe Islands,0,0,,,,,,,,,,,,,,,
2403,Finland,-130,-70,,,,,,,,,,,,,,,
2404,Greenland,0,0,,,,,,,,,,,,,,,
2405,Iceland,0,0,,,,,,,,,,,,,,,
2406,Norway,-170,60,,,,,,,,,,,,,,,
2407,Sweden,-230,-180,,,,,,,,,,,,,,,
2408,Aland Islands,0,0,,,,,,,,,,,,,,,
3101,Andorra,0,0,,,,,,,,,,,,,,,
3102,Gibraltar,0,0,,,,,,,,,,,,,,,
3103,Holy See,0,0,,,,,,,,,,,,,,,
3104,Italy,"-1,240",-780,,,,,,,,,,,,,,,
3105,Malta,-30,-30,,,,,,,,,,,,,,,
3106,Portugal,-70,-90,,,,,,,,,,,,,,,
3107,San Marino,0,0,,,,,,,,,,,,,,,
3108,Spain,-600,-420,,,,,,,,,,,,,,,
3201,Albania,-60,0,,,,,,,,,,,,,,,
3202,Bosnia/Herzegov,-120,-320,,,,,,,,,,,,,,,
3203,Bulgaria,-40,-90,,,,,,,,,,,,,,,
3204,Croatia,-110,-360,,,,,,,,,,,,,,,
3205,Cyprus,-40,-70,,,,,,,,,,,,,,,
3206,North Macedonia,-120,-10,,,,,,,,,,,,,,,
3207,Greece,-410,-540,,,,,,,,,,,,,,,
3208,Moldova,-10,20,,,,,,,,,,,,,,,
3211,Romania,-100,-110,,,,,,,,,,,,,,,
3212,Slovenia,-30,-50,,,,,,,,,,,,,,,
3214,Montenegro,0,0,,,,,,,,,,,,,,,
